,Pvalb,Pvalb,Pvalb,Pvalb,Sst,Sst,Sst,Sst
,mean firing rate,std firing rate,PPC beta,PPC gamma,mean firing rate,std firing rate,PPC beta,PPC gamma
stimulus duration,,,,,,,,
drifting_gratings whole,13.194010595803821,5.579423868968891,0.04127445949285388,0.014869595605196458,0.41859587177858426,0.0,0.0008168942193745151,-0.00015971572813266733
drifting_gratings baseline,6.9525139664804465,3.606337812755794,0.010980458539043508,0.006636521079063463,0.36666666666666664,0.0,-0.003158107617727037,0.004087706709327372
drifting_gratings early,21.175512104283058,8.263078319510509,0.08779706958766757,0.01213782577048045,0.5277777777777778,0.0,0.0235998354570395,-0.016488277037817634
drifting_gratings stable,13.620800268978092,5.8882911110669705,0.03890476918372321,0.01725166663465543,0.4146058795683313,0.0,-0.0036436181315388514,-0.0030243028667632137
natural_movie_one whole,17.027436554147734,6.820191728272386,0.010077155877216349,0.008281838384225203,7.272249853922197,0.0,6.7781758212449e-05,-0.00019041849170438723
natural_movie_three whole,14.647133048257707,6.995510181913983,0.007613156488084125,0.006204496040727245,0.965858565000617,0.0,0.002437458978995795,-2.3495581999198063e-05
drifting_gratings_75_repeats whole,11.161090340712184,10.241815944153196,0.04170663210807414,0.028957271146637684,9.36699078997333,8.419512906237955,0.040045619105232085,0.012843728317377921
drifting_gratings_75_repeats baseline,6.859259259259259,4.007475045639912,0.008485977830524584,0.015241976842836414,5.6464,8.0763885174281,0.0012210618324702016,0.0042837898340356015
drifting_gratings_75_repeats early,16.71851851851852,14.946026351632856,0.05696839881137968,0.021879069928671207,11.415555555555555,12.968082375348606,0.028741106208103887,0.01411160644986823
drifting_gratings_75_repeats stable,11.445314557346771,11.403915847390907,0.06797577954344726,0.0396050538017446,10.099006355072234,9.606772343175617,0.05295918836334957,0.015503781404814305
natural_movie_one_more_repeats whole,11.38016809465257,11.04728173365238,0.009692232443478332,0.01669144178996062,7.242911515285605,7.253263807537231,0.006593809494085691,0.0060199894911196405
natural_movie_one_shuffled whole,12.742385712648318,8.150156733019772,0.007746347702762571,0.007483755531061241,5.0054202106309225,5.873072470155849,0.004295730866581598,0.0036775695318999185
